Date,Day,Week,Phase,Gym,Run,Run_km,Run_Pace,Double_Day,Notes,Result
21/06/2026,Sunday,2,Phase 1 — Base (Jun–Sep),Push,Long Run,12,5:30–6:15/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
22/06/2026,Monday,3,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
23/06/2026,Tuesday,3,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:30/km,No,OSSAAT 4:30 group. 6x1km with 90s rest. Start controlled — build into reps.,
24/06/2026,Wednesday,3,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,6,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
25/06/2026,Thursday,3,Phase 1 — Base (Jun–Sep),Lower,Easy Run,7.5,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
26/06/2026,Friday,3,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6.5,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
27/06/2026,Saturday,3,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
28/06/2026,Sunday,3,Phase 1 — Base (Jun–Sep),Push,Long Run,13.5,5:30–6:15/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
29/06/2026,Monday,4 (Cutback),Phase 1 — Base (Jun–Sep),Legs,Recovery Run,4.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
30/06/2026,Tuesday,4 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:15/km,No,OSSAAT 4:15 group. Step up from 4:30. Even splits rep 1-6. Last 2 reps hard.,
01/07/2026,Wednesday,4 (Cutback),Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,5,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
02/07/2026,Thursday,4 (Cutback),Phase 1 — Base (Jun–Sep),Lower,Easy Run,5.5,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
03/07/2026,Friday,4 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,5,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
04/07/2026,Saturday,4 (Cutback),Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
05/07/2026,Sunday,4 (Cutback),Phase 1 — Base (Jun–Sep),Push,Long Run,10.5,5:30–6:15/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
06/07/2026,Monday,5,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
07/07/2026,Tuesday,5,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:15/km,No,OSSAAT 4:15 group. Step up from 4:30. Even splits rep 1-6. Last 2 reps hard.,
08/07/2026,Wednesday,5,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,7,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
09/07/2026,Thursday,5,Phase 1 — Base (Jun–Sep),Lower,Easy Run,8,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
10/07/2026,Friday,5,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
11/07/2026,Saturday,5,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
12/07/2026,Sunday,5,Phase 1 — Base (Jun–Sep),Push,Long Run,14.8,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
13/07/2026,Monday,6,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
14/07/2026,Tuesday,6,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:15/km,No,OSSAAT 4:15 group. Step up from 4:30. Even splits rep 1-6. Last 2 reps hard.,
15/07/2026,Wednesday,6,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,8,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
16/07/2026,Thursday,6,Phase 1 — Base (Jun–Sep),Lower,Easy Run,8.5,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
17/07/2026,Friday,6,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7.5,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
18/07/2026,Saturday,6,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
19/07/2026,Sunday,6,Phase 1 — Base (Jun–Sep),Push,Long Run,16,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
20/07/2026,Monday,7,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
21/07/2026,Tuesday,7,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
22/07/2026,Wednesday,7,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,9,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
23/07/2026,Thursday,7,Phase 1 — Base (Jun–Sep),Lower,Easy Run,9,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
24/07/2026,Friday,7,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,8,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
25/07/2026,Saturday,7,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
26/07/2026,Sunday,7,Phase 1 — Base (Jun–Sep),Push,Long Run,17.2,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
27/07/2026,Monday,8 (Cutback),Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
28/07/2026,Tuesday,8 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
29/07/2026,Wednesday,8 (Cutback),Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,7,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
30/07/2026,Thursday,8 (Cutback),Phase 1 — Base (Jun–Sep),Lower,Easy Run,7,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
31/07/2026,Friday,8 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,6,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
01/08/2026,Saturday,8 (Cutback),Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
02/08/2026,Sunday,8 (Cutback),Phase 1 — Base (Jun–Sep),Push,Long Run,13,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
03/08/2026,Monday,9,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
04/08/2026,Tuesday,9,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
05/08/2026,Wednesday,9,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,10,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
06/08/2026,Thursday,9,Phase 1 — Base (Jun–Sep),Lower,Easy Run,9.5,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
07/08/2026,Friday,9,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,8.5,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
08/08/2026,Saturday,9,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
09/08/2026,Sunday,9,Phase 1 — Base (Jun–Sep),Push,Long Run,18.2,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
10/08/2026,Monday,10,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
11/08/2026,Tuesday,10,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
12/08/2026,Wednesday,10,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,11,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
13/08/2026,Thursday,10,Phase 1 — Base (Jun–Sep),Lower,Easy Run,10,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
14/08/2026,Friday,10,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,9,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
15/08/2026,Saturday,10,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
16/08/2026,Sunday,10,Phase 1 — Base (Jun–Sep),Push,Long Run,19.3,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
17/08/2026,Monday,11,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,6.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
18/08/2026,Tuesday,11,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
19/08/2026,Wednesday,11,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,12,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
20/08/2026,Thursday,11,Phase 1 — Base (Jun–Sep),Lower,Easy Run,10.5,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
21/08/2026,Friday,11,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,9.5,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
22/08/2026,Saturday,11,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
23/08/2026,Sunday,11,Phase 1 — Base (Jun–Sep),Push,Long Run,20.4,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
24/08/2026,Monday,12 (Cutback),Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
25/08/2026,Tuesday,12 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
26/08/2026,Wednesday,12 (Cutback),Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,9.5,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
27/08/2026,Thursday,12 (Cutback),Phase 1 — Base (Jun–Sep),Lower,Easy Run,8,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
28/08/2026,Friday,12 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,7,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
29/08/2026,Saturday,12 (Cutback),Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
30/08/2026,Sunday,12 (Cutback),Phase 1 — Base (Jun–Sep),Push,Long Run,16,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
31/08/2026,Monday,13,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,7,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
01/09/2026,Tuesday,13,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
02/09/2026,Wednesday,13,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,12.5,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
03/09/2026,Thursday,13,Phase 1 — Base (Jun–Sep),Lower,Easy Run,11,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
04/09/2026,Friday,13,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,10,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
05/09/2026,Saturday,13,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
06/09/2026,Sunday,13,Phase 1 — Base (Jun–Sep),Push,Long Run,21.4,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
07/09/2026,Monday,14,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,7,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
08/09/2026,Tuesday,14,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
09/09/2026,Wednesday,14,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,13,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
10/09/2026,Thursday,14,Phase 1 — Base (Jun–Sep),Lower,Easy Run,11.5,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
11/09/2026,Friday,14,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,10.5,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
12/09/2026,Saturday,14,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
13/09/2026,Sunday,14,Phase 1 — Base (Jun–Sep),Push,Long Run,22.3,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
14/09/2026,Monday,15,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,7,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
15/09/2026,Tuesday,15,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
16/09/2026,Wednesday,15,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,13.5,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
17/09/2026,Thursday,15,Phase 1 — Base (Jun–Sep),Lower,Easy Run,12,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
18/09/2026,Friday,15,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,11,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
19/09/2026,Saturday,15,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
20/09/2026,Sunday,15,Phase 1 — Base (Jun–Sep),Push,Long Run,23.2,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
21/09/2026,Monday,16 (Cutback),Phase 1 — Base (Jun–Sep),Legs,Recovery Run,5.5,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
22/09/2026,Tuesday,16 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
23/09/2026,Wednesday,16 (Cutback),Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,11,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
24/09/2026,Thursday,16 (Cutback),Phase 1 — Base (Jun–Sep),Lower,Easy Run,9,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
25/09/2026,Friday,16 (Cutback),Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,8,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
26/09/2026,Saturday,16 (Cutback),Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
27/09/2026,Sunday,16 (Cutback),Phase 1 — Base (Jun–Sep),Push,Long Run,18.5,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
28/09/2026,Monday,17,Phase 1 — Base (Jun–Sep),Legs,Recovery Run,7,6:00–6:30/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
29/09/2026,Tuesday,17,Phase 1 — Base (Jun–Sep),Gym Rest,Intervals,10,4:00/km,No,OSSAAT 4:00 group. Key VO2max stimulus. Hold pace on reps 5-6. HR high = good.,
30/09/2026,Wednesday,17,Phase 1 — Base (Jun–Sep),Upper,Medium-Long Run,14,5:30–6:00/km,Yes,Steady aerobic volume. HR 140-155. Don't chase pace — purpose is accumulation.,
01/10/2026,Thursday,17,Phase 1 — Base (Jun–Sep),Lower,Easy Run,12,5:30–6:15/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
02/10/2026,Friday,17,Phase 1 — Base (Jun–Sep),Gym Rest,Tempo,11,4:25–4:35/km,No,Threshold work. Comfortably hard — few words only. 1km easy warm-up first.,
03/10/2026,Saturday,17,Phase 1 — Base (Jun–Sep),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
04/10/2026,Sunday,17,Phase 1 — Base (Jun–Sep),Push,Long Run,24,5:30–6:00/km,Yes,Key aerobic session. First half easy (6:00+/km). Fuel at 60min. Stop if acute pain.,
,,,,,,,,,,
05/10/2026,Monday,18,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,7,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
06/10/2026,Tuesday,18,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
07/10/2026,Wednesday,18,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,13,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
08/10/2026,Thursday,18,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,12,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
09/10/2026,Friday,18,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,11.5,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
10/10/2026,Saturday,18,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
11/10/2026,Sunday,18,Phase 2 — Endurance (Oct–Dec),Push,Long Run,22,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
12/10/2026,Monday,19,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,7,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
13/10/2026,Tuesday,19,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
14/10/2026,Wednesday,19,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,14,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
15/10/2026,Thursday,19,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,12.5,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
16/10/2026,Friday,19,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,12,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
17/10/2026,Saturday,19,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
18/10/2026,Sunday,19,Phase 2 — Endurance (Oct–Dec),Push,Long Run,23.5,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
19/10/2026,Monday,20,Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,7,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
20/10/2026,Tuesday,20,Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
21/10/2026,Wednesday,20,Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,14.5,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
22/10/2026,Thursday,20,Phase 2 — Endurance (Oct–Dec),Lower,Easy Run,13,5:15–6:00/km,Yes,Conversational pace — full sentences throughout. Protect Fri tempo quality.,
23/10/2026,Friday,20,Phase 2 — Endurance (Oct–Dec),Gym Rest,Tempo,12.5,4:10–4:20/km,No,Building toward race pace. Threshold effort — controlled but honest. Don't blow up.,
24/10/2026,Saturday,20,Phase 2 — Endurance (Oct–Dec),Pull,,,,No,Pull gym: Lat Pulldown + Rows + Rear Delt + Curls. Running posture + arm drive.,
25/10/2026,Sunday,20,Phase 2 — Endurance (Oct–Dec),Push,Long Run,24.8,5:10–5:45/km,Yes,Big aerobic effort. Fuel from 45min. Negative split or even. Don't race the first half.,
,,,,,,,,,,
26/10/2026,Monday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Legs,Recovery Run,5.5,5:45–6:15/km,Yes,Run BEFORE Legs gym. Easy — HR<140. Flush Sunday fatigue. Don't go faster.,
27/10/2026,Tuesday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Gym Rest,Intervals,10,3:45/km,No,OSSAAT 3:45 group. Phase 2 step-up — aerobic base supports this. Commit to the group.,
28/10/2026,Wednesday,21 (Cutback),Phase 2 — Endurance (Oct–Dec),Upper,Medium-Long Run,11.5,5:15–5:45/km,Yes,Quality aerobic run. HR 145-160. Slightly more honest — still controlled effort.,
